"Product variant code / SKU (required)","Product variant name","Product supplier item code","Product internal barcode","Product registered barcode","Ingredient variant code / SKU (required)","Ingredient variant name","Ingredient supplier item code","Ingredient internal barcode","Ingredient registered barcode","Notes","Quantity (required)","Unit of measure","Stock cost on 2022-05-12"
"TT013","Talinti Popcorn Sprinkle / Sour Cream & Chives / 1kg","","10698","6009693620261","LVB-SCC-1K","Talinti Labelled Vacuum Bag / Sour Cream & Chives / 1kg","","11066","","",1,"pcs","0.6816877778"
"TT021","Talinti Popcorn Sprinkle / Parmesan / 125ml","","10708","6009693620056","PS-PAR","Popcorn sprinkle / Parmesan","8700061,6009656762144","10673","6009656762144","",0.09,"kg",60.144264419958525
"TT016","Talinti Popcorn Sprinkle / Chutney / 125ml","","10711","6009693620070","PS-CHUT","Popcorn sprinkle / Chutney","8700097","10672","","",0.09,"kg",29.900000000046614
"TT031","Talinti Popcorn Sprinkle / Cheese / 125ml","","10702","6009693620032","PS-CHE","Popcorn sprinkle / Cheese","8700088","10670","","",0.09,"kg",35.29999999998565
"TT001","Talinti Popcorn Sprinkle / Butter / 125ml","","10693","6009693620025","PS-BUT","Popcorn sprinkle / Butter","8700106","10669","","",0.09,"kg",26.799999999988874
"TT026","Talinti Popcorn Sprinkle / Cheese & Onion / 125ml","","10705","6009693620049","PS-CHO","Popcorn sprinkle / Cheese & Onion","8700076","10671","","",0.09,"kg",45.4000000000043
"TT006","Talinti Popcorn Sprinkle / Salt & Vinegar / 125ml","","10699","6009693620087","PS-SV","Popcorn sprinkle / Salt & Vinegar","8700211","10674","","",0.14,"kg",20.00000000003455
"TT011","Talinti Popcorn Sprinkle / Sour Cream & Chives / 125ml","","10696","6009693620063","PS-SCC","Popcorn sprinkle / Sour Cream & Chives","8700037","10675","","",0.09,"kg",34.60000000003571
"TT022","Talinti Popcorn Sprinkle / Parmesan / 500g","","10709","6009693620155","PS-PAR","Popcorn sprinkle / Parmesan","8700061,6009656762144","10673","6009656762144","",0.5,"kg",60.144264419958525
"TT017","Talinti Popcorn Sprinkle / Chutney / 500g","","10712","6009693620179","PS-CHUT","Popcorn sprinkle / Chutney","8700097","10672","","",0.5,"kg",29.900000000046614
"TT032","Talinti Popcorn Sprinkle / Cheese / 500g","","10703","6009693620131","PS-CHE","Popcorn sprinkle / Cheese","8700088","10670","","",0.5,"kg",35.29999999998565
"TT002","Talinti Popcorn Sprinkle / Butter / 500g","","10694","6009693620124","PS-BUT","Popcorn sprinkle / Butter","8700106","10669","","",0.5,"kg",26.799999999988874
"TT027","Talinti Popcorn Sprinkle / Cheese & Onion / 500g","","10706","6009693620148","PS-CHO","Popcorn sprinkle / Cheese & Onion","8700076","10671","","",0.5,"kg",45.4000000000043
"TT007","Talinti Popcorn Sprinkle / Salt & Vinegar / 500g","","10700","6009693620186","PS-SV","Popcorn sprinkle / Salt & Vinegar","8700211","10674","","",0.5,"kg",20.00000000003455
"TT012","Talinti Popcorn Sprinkle / Sour Cream & Chives / 500g","","10697","6009693620162","PS-SCC","Popcorn sprinkle / Sour Cream & Chives","8700037","10675","","",0.5,"kg",34.60000000003571
"TT023","Talinti Popcorn Sprinkle / Parmesan / 1kg","","10710","6009693620254","PS-PAR","Popcorn sprinkle / Parmesan","8700061,6009656762144","10673","6009656762144","",1,"kg",60.144264419958525
"TT018","Talinti Popcorn Sprinkle / Chutney / 1kg","","10713","6009693620278","PS-CHUT","Popcorn sprinkle / Chutney","8700097","10672","","",1,"kg",29.900000000046614
"TT033","Talinti Popcorn Sprinkle / Cheese / 1kg","","10704","6009693620230","PS-CHE","Popcorn sprinkle / Cheese","8700088","10670","","",1,"kg",35.29999999998565
"TT003","Talinti Popcorn Sprinkle / Butter / 1kg","","10695","6009693620223","PS-BUT","Popcorn sprinkle / Butter","8700106","10669","","",1,"kg",26.799999999988874
"TT028","Talinti Popcorn Sprinkle / Cheese & Onion / 1kg","","10707","6009693620247","PS-CHO","Popcorn sprinkle / Cheese & Onion","8700076","10671","","",1,"kg",45.4000000000043
"TT008","Talinti Popcorn Sprinkle / Salt & Vinegar / 1kg","","10701","6009693620285","PS-SV","Popcorn sprinkle / Salt & Vinegar","8700211","10674","","",1,"kg",20.00000000003455
"TT013","Talinti Popcorn Sprinkle / Sour Cream & Chives / 1kg","","10698","6009693620261","PS-SCC","Popcorn sprinkle / Sour Cream & Chives","8700037","10675","","",1,"kg",34.60000000003571
"TT021","Talinti Popcorn Sprinkle / Parmesan / 125ml","","10708","6009693620056","LS-PAR","Labelled Shaker / Parmesan","","10728","","",1,"pcs","3.3062222221"
"TT031","Talinti Popcorn Sprinkle / Cheese / 125ml","","10702","6009693620032","LS-CHE","Labelled Shaker / Cheese","","10726","","",1,"pcs","3.3062222221"
"TT016","Talinti Popcorn Sprinkle / Chutney / 125ml","","10711","6009693620070","LS-CHUT","Labelled Shaker / Chutney","","10729","","",1,"pcs","3.3062222221"
"TT001","Talinti Popcorn Sprinkle / Butter / 125ml","","10693","6009693620025","LS-BUT","Labelled Shaker / Butter","","10723","","",1,"pcs","3.3062222221"
"TT026","Talinti Popcorn Sprinkle / Cheese & Onion / 125ml","","10705","6009693620049","LS-CHO","Labelled Shaker / Cheese & Onion","","10727","","",1,"pcs","3.3062222221"
"TT011","Talinti Popcorn Sprinkle / Sour Cream & Chives / 125ml","","10696","6009693620063","LS-SCC","Labelled Shaker / Sour Cream & Chives","","10724","","",1,"pcs","3.3062222221"
"TT006","Talinti Popcorn Sprinkle / Salt & Vinegar / 125ml","","10699","6009693620087","LS-SV","Labelled Shaker / Salt & Vinegar","","10725","","",1,"pcs","3.3062222221"
"TT002","Talinti Popcorn Sprinkle / Butter / 500g","","10694","6009693620124","LVB-BUT-500","Talinti Labelled Vacuum Bag / Butter / 500g","","11070","","",1,"pcs","0.4517777778"
